Persona Name,Age,Income Source,Annual Income Range,Family Size,Relationship Status,Key Financial Goals,Lifestyle Factors
Riya,23,Retired,$30k-$50k,4,Widowed,Health Coverage,"Pet owner, active lifestyle"
Sneha,54,Salaried,$100k+,3,Married w/ Kids,Retirement Savings,"Pet owner, active lifestyle"
Amit,36,Retired,$30k-$50k,4,Widowed,Retirement Savings,"Health-conscious, gym member"
Rahul,26,Self-Employed,$30k-$50k,2,Single,Retirement Savings,"Owns property, no liabilities"
Riya,53,Retired,$30k-$50k,1,Married w/ Spouse,Health Coverage,"Owns property, no liabilities"
Arjun,64,Salaried,$15k-$30k,2,Widowed,Retirement Savings,"Owns property, no liabilities"
Riya,39,Retired,$15k-$30k,4,Married w/ Spouse,Retirement Savings,"Owns property, no liabilities"
Ankit,64,Salaried,$50k-$75k,3,Married w/ Kids,Retirement Savings,"Pet owner, active lifestyle"
Amit,38,Salaried,$50k-$75k,5,Married w/ Kids,Tax Saving,"Smoker, high stress job"
Mr. Dutta,49,Retired,$75k-$100k,1,Married w/ Spouse,Tax Saving,"Pet owner, active lifestyle"
Mr. Dutta,40,Salaried,$100k+,4,Divorced,Wealth Creation,"Sedentary lifestyle, chronic illness"
Amit,62,Salaried,$100k+,4,Divorced,Retirement Savings,"Health-conscious, gym member"
Sunita,57,Business Owner,$15k-$30k,4,Divorced,Tax Saving,"Owns property, no liabilities"
Amit,42,Retired,$15k-$30k,2,Divorced,Tax Saving,Works night shifts
Arjun,49,Salaried,$15k-$30k,3,Widowed,Wealth Creation,Works night shifts
Sneha,29,Salaried,$75k-$100k,5,Divorced,Child Education Fund,"Smoker, high stress job"
Ankit,32,Self-Employed,$30k-$50k,1,Divorced,Health Coverage,"Owns a car, travels frequently"
Riya,25,Self-Employed,$30k-$50k,2,Married w/ Spouse,Child Education Fund,Works night shifts
Mrs. Iyer,39,Self-Employed,$30k-$50k,4,Divorced,Wealth Creation,"Sedentary lifestyle, chronic illness"
Sneha,37,Salaried,$100k+,4,Married w/ Kids,Child Education Fund,Lives in joint family
Rahul,53,Salaried,$50k-$75k,1,Divorced,Wealth Creation,"Sedentary lifestyle, chronic illness"
Riya,33,Business Owner,$50k-$75k,2,Single,Health Coverage,Works night shifts
Sneha,29,Business Owner,$75k-$100k,2,Widowed,Health Coverage,"Owns property, no liabilities"
Priya,49,Retired,$100k+,5,Widowed,Wealth Creation,"Smoker, high stress job"
Riya,28,Business Owner,$15k-$30k,1,Single,Health Coverage,"Pet owner, active lifestyle"
Priya,31,Business Owner,$50k-$75k,1,Married w/ Kids,Wealth Creation,"Owns a car, travels frequently"
Ankit,52,Business Owner,$30k-$50k,3,Single,Child Education Fund,"Owns a car, travels frequently"
Sneha,30,Retired,$50k-$75k,1,Married w/ Spouse,Retirement Savings,"Sedentary lifestyle, chronic illness"
Rahul,64,Self-Employed,$15k-$30k,5,Single,Retirement Savings,Works night shifts
Priya,35,Business Owner,$100k+,4,Single,Health Coverage,"Pet owner, active lifestyle"
Arjun,24,Salaried,$100k+,5,Widowed,Tax Saving,"Owns property, no liabilities"
Arjun,38,Salaried,$30k-$50k,1,Married w/ Kids,Tax Saving,"Owns a car, travels frequently"
Ankit,29,Salaried,$75k-$100k,2,Married w/ Kids,Child Education Fund,"Owns a car, travels frequently"
Sneha,61,Business Owner,$50k-$75k,4,Married w/ Spouse,Retirement Savings,"Owns property, no liabilities"
Sneha,31,Business Owner,$15k-$30k,4,Widowed,Retirement Savings,Works night shifts
Ankit,32,Salaried,$50k-$75k,2,Divorced,Child Education Fund,"Owns a car, travels frequently"
Riya,58,Salaried,$75k-$100k,1,Widowed,Wealth Creation,Works night shifts
Mr. Dutta,64,Business Owner,$30k-$50k,3,Married w/ Kids,Wealth Creation,Works night shifts
Mrs. Iyer,48,Salaried,$100k+,3,Married w/ Spouse,Tax Saving,Lives in joint family
Amit,38,Salaried,$15k-$30k,1,Married w/ Spouse,Tax Saving,Works night shifts
Arjun,49,Self-Employed,$75k-$100k,5,Widowed,Health Coverage,"Sedentary lifestyle, chronic illness"
Sunita,60,Retired,$30k-$50k,5,Married w/ Kids,Wealth Creation,Lives in joint family
Arjun,35,Salaried,$30k-$50k,5,Married w/ Kids,Child Education Fund,"Smoker, high stress job"
Mrs. Iyer,27,Self-Employed,$75k-$100k,1,Divorced,Tax Saving,Lives in joint family
Ankit,37,Self-Employed,$100k+,5,Single,Tax Saving,Lives in joint family
Priya,32,Business Owner,$50k-$75k,4,Married w/ Spouse,Wealth Creation,"Health-conscious, gym member"
Mr. Dutta,32,Business Owner,$75k-$100k,1,Married w/ Kids,Health Coverage,"Owns property, no liabilities"
Amit,32,Self-Employed,$75k-$100k,3,Single,Retirement Savings,"Health-conscious, gym member"
Mr. Dutta,51,Self-Employed,$15k-$30k,5,Widowed,Health Coverage,"Frequent flyer, international travel"
Sneha,58,Salaried,$50k-$75k,3,Married w/ Spouse,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,58,Business Owner,$30k-$50k,2,Widowed,Tax Saving,"Pet owner, active lifestyle"
Arjun,33,Salaried,$75k-$100k,5,Single,Child Education Fund,Works night shifts
Rahul,32,Business Owner,$15k-$30k,3,Single,Wealth Creation,Lives in joint family
Amit,61,Retired,$30k-$50k,5,Widowed,Health Coverage,"Sedentary lifestyle, chronic illness"
Ankit,43,Salaried,$100k+,1,Widowed,Health Coverage,"Sedentary lifestyle, chronic illness"
Arjun,28,Retired,$100k+,2,Married w/ Spouse,Child Education Fund,Lives in joint family
Amit,47,Retired,$75k-$100k,4,Single,Tax Saving,"Health-conscious, gym member"
Mr. Dutta,58,Salaried,$75k-$100k,1,Widowed,Wealth Creation,"Owns property, no liabilities"
Priya,62,Salaried,$50k-$75k,3,Married w/ Spouse,Wealth Creation,"Owns property, no liabilities"
Priya,31,Business Owner,$100k+,5,Married w/ Kids,Health Coverage,Lives in joint family
Priya,53,Business Owner,$30k-$50k,5,Married w/ Kids,Wealth Creation,"Frequent flyer, international travel"
Arjun,63,Retired,$50k-$75k,3,Single,Tax Saving,"Sedentary lifestyle, chronic illness"
Riya,45,Business Owner,$100k+,1,Divorced,Wealth Creation,"Frequent flyer, international travel"
Riya,59,Retired,$75k-$100k,2,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
Ankit,27,Business Owner,$75k-$100k,1,Married w/ Kids,Retirement Savings,"Sedentary lifestyle, chronic illness"
Ankit,36,Self-Employed,$30k-$50k,5,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Riya,42,Retired,$30k-$50k,3,Married w/ Spouse,Tax Saving,"Owns a car, travels frequently"
Sneha,61,Retired,$15k-$30k,3,Widowed,Child Education Fund,"Owns a car, travels frequently"
Ankit,60,Retired,$100k+,4,Widowed,Wealth Creation,"Health-conscious, gym member"
Priya,47,Salaried,$30k-$50k,4,Widowed,Child Education Fund,Prefers homeopathic treatment
Sunita,43,Business Owner,$100k+,4,Widowed,Tax Saving,Lives in joint family
Priya,34,Retired,$30k-$50k,5,Widowed,Child Education Fund,"Pet owner, active lifestyle"
Mrs. Iyer,61,Salaried,$15k-$30k,1,Divorced,Health Coverage,Prefers homeopathic treatment
Ankit,50,Salaried,$30k-$50k,5,Married w/ Kids,Health Coverage,"Frequent flyer, international travel"
Amit,25,Business Owner,$75k-$100k,1,Widowed,Child Education Fund,Prefers homeopathic treatment
Riya,29,Self-Employed,$100k+,4,Widowed,Child Education Fund,"Owns a car, travels frequently"
Arjun,42,Self-Employed,$15k-$30k,2,Married w/ Kids,Child Education Fund,"Owns a car, travels frequently"
Rahul,29,Retired,$30k-$50k,3,Divorced,Retirement Savings,"Owns property, no liabilities"
Arjun,26,Business Owner,$50k-$75k,4,Divorced,Retirement Savings,"Frequent flyer, international travel"
Ankit,31,Salaried,$50k-$75k,4,Divorced,Wealth Creation,"Sedentary lifestyle, chronic illness"
Priya,34,Business Owner,$100k+,3,Single,Wealth Creation,"Health-conscious, gym member"
Sunita,45,Salaried,$50k-$75k,3,Widowed,Tax Saving,"Owns property, no liabilities"
Mrs. Iyer,34,Business Owner,$75k-$100k,2,Married w/ Kids,Wealth Creation,"Frequent flyer, international travel"
Priya,54,Self-Employed,$30k-$50k,4,Widowed,Health Coverage,"Frequent flyer, international travel"
Mrs. Iyer,56,Retired,$50k-$75k,2,Married w/ Kids,Child Education Fund,Lives in joint family
Mrs. Iyer,54,Business Owner,$50k-$75k,2,Divorced,Child Education Fund,"Frequent flyer, international travel"
Priya,60,Business Owner,$50k-$75k,4,Divorced,Tax Saving,Prefers homeopathic treatment
Mrs. Iyer,29,Business Owner,$15k-$30k,3,Single,Health Coverage,"Pet owner, active lifestyle"
Priya,29,Business Owner,$30k-$50k,1,Single,Retirement Savings,Works night shifts
Sunita,39,Self-Employed,$100k+,4,Widowed,Tax Saving,"Owns property, no liabilities"
Rahul,44,Salaried,$100k+,5,Single,Child Education Fund,Lives in joint family
Priya,64,Retired,$100k+,3,Divorced,Child Education Fund,"Frequent flyer, international travel"
Rahul,46,Salaried,$15k-$30k,1,Married w/ Spouse,Child Education Fund,"Pet owner, active lifestyle"
Ankit,54,Retired,$30k-$50k,3,Single,Tax Saving,Prefers homeopathic treatment
Rahul,48,Self-Employed,$15k-$30k,5,Divorced,Tax Saving,"Frequent flyer, international travel"
Amit,33,Salaried,$15k-$30k,3,Married w/ Kids,Retirement Savings,"Frequent flyer, international travel"
Priya,46,Business Owner,$15k-$30k,1,Married w/ Kids,Health Coverage,"Health-conscious, gym member"
Mrs. Iyer,32,Business Owner,$75k-$100k,5,Divorced,Tax Saving,"Frequent flyer, international travel"
Mrs. Iyer,22,Salaried,$100k+,4,Married w/ Spouse,Wealth Creation,"Owns property, no liabilities"
Ankit,23,Business Owner,$30k-$50k,5,Divorced,Tax Saving,"Health-conscious, gym member"
Sneha,22,Business Owner,$30k-$50k,2,Married w/ Spouse,Wealth Creation,"Owns property, no liabilities"
Sneha,24,Business Owner,$50k-$75k,4,Single,Health Coverage,"Health-conscious, gym member"
Riya,25,Retired,$15k-$30k,4,Single,Wealth Creation,Lives in joint family
Amit,28,Self-Employed,$100k+,2,Divorced,Retirement Savings,"Pet owner, active lifestyle"
Sneha,44,Self-Employed,$100k+,4,Widowed,Health Coverage,"Owns property, no liabilities"
Arjun,46,Salaried,$50k-$75k,1,Widowed,Wealth Creation,"Health-conscious, gym member"
Sunita,25,Salaried,$75k-$100k,1,Married w/ Spouse,Retirement Savings,Lives in joint family
Mrs. Iyer,55,Business Owner,$15k-$30k,5,Widowed,Retirement Savings,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,33,Self-Employed,$75k-$100k,1,Widowed,Child Education Fund,Lives in joint family
Mr. Dutta,64,Self-Employed,$30k-$50k,4,Single,Retirement Savings,"Owns property, no liabilities"
Sneha,60,Self-Employed,$75k-$100k,4,Married w/ Spouse,Wealth Creation,"Sedentary lifestyle, chronic illness"
Riya,35,Salaried,$30k-$50k,5,Widowed,Wealth Creation,Prefers homeopathic treatment
Sunita,36,Self-Employed,$50k-$75k,1,Single,Health Coverage,"Smoker, high stress job"
Rahul,31,Retired,$100k+,1,Widowed,Wealth Creation,Lives in joint family
Rahul,25,Business Owner,$15k-$30k,3,Divorced,Tax Saving,"Owns property, no liabilities"
Sneha,56,Self-Employed,$50k-$75k,3,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Rahul,42,Retired,$75k-$100k,5,Married w/ Kids,Health Coverage,"Sedentary lifestyle, chronic illness"
Ankit,41,Retired,$75k-$100k,5,Single,Tax Saving,Lives in joint family
Mrs. Iyer,47,Self-Employed,$15k-$30k,3,Single,Child Education Fund,Lives in joint family
Priya,38,Self-Employed,$100k+,4,Married w/ Kids,Retirement Savings,"Owns a car, travels frequently"
Rahul,23,Self-Employed,$50k-$75k,2,Married w/ Spouse,Child Education Fund,"Frequent flyer, international travel"
Rahul,27,Self-Employed,$100k+,2,Widowed,Child Education Fund,"Owns a car, travels frequently"
Priya,49,Self-Employed,$30k-$50k,2,Widowed,Health Coverage,Lives in joint family
Ankit,23,Self-Employed,$75k-$100k,5,Divorced,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,48,Retired,$15k-$30k,2,Married w/ Kids,Tax Saving,Works night shifts
Rahul,55,Self-Employed,$75k-$100k,2,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Ankit,53,Salaried,$15k-$30k,3,Single,Wealth Creation,"Pet owner, active lifestyle"
Arjun,63,Retired,$100k+,1,Married w/ Spouse,Tax Saving,Works night shifts
Priya,23,Self-Employed,$30k-$50k,1,Married w/ Kids,Child Education Fund,"Smoker, high stress job"
Arjun,52,Retired,$50k-$75k,5,Single,Wealth Creation,"Owns a car, travels frequently"
Ankit,29,Salaried,$15k-$30k,5,Divorced,Child Education Fund,Prefers homeopathic treatment
Riya,50,Business Owner,$50k-$75k,5,Single,Tax Saving,Lives in joint family
Amit,40,Business Owner,$100k+,1,Single,Child Education Fund,Lives in joint family
Ankit,53,Retired,$30k-$50k,1,Widowed,Health Coverage,"Frequent flyer, international travel"
Riya,60,Business Owner,$100k+,1,Divorced,Health Coverage,"Smoker, high stress job"
Riya,49,Salaried,$100k+,3,Widowed,Tax Saving,"Frequent flyer, international travel"
Arjun,25,Self-Employed,$75k-$100k,3,Widowed,Tax Saving,Works night shifts
Priya,57,Business Owner,$30k-$50k,4,Married w/ Kids,Health Coverage,Lives in joint family
Arjun,49,Salaried,$30k-$50k,4,Single,Retirement Savings,"Smoker, high stress job"
Rahul,39,Retired,$30k-$50k,2,Widowed,Wealth Creation,Works night shifts
Ankit,59,Salaried,$75k-$100k,5,Divorced,Retirement Savings,"Health-conscious, gym member"
Ankit,23,Business Owner,$50k-$75k,5,Divorced,Child Education Fund,Lives in joint family
Sunita,55,Self-Employed,$100k+,2,Single,Child Education Fund,Works night shifts
Rahul,52,Business Owner,$100k+,3,Single,Child Education Fund,"Owns property, no liabilities"
Ankit,35,Business Owner,$15k-$30k,4,Divorced,Tax Saving,"Health-conscious, gym member"
Priya,63,Business Owner,$75k-$100k,2,Widowed,Wealth Creation,"Owns a car, travels frequently"
Mr. Dutta,52,Retired,$75k-$100k,5,Married w/ Spouse,Wealth Creation,"Frequent flyer, international travel"
Mrs. Iyer,30,Business Owner,$30k-$50k,5,Widowed,Wealth Creation,"Pet owner, active lifestyle"
Sneha,56,Salaried,$100k+,4,Single,Health Coverage,"Owns property, no liabilities"
Rahul,35,Self-Employed,$15k-$30k,1,Single,Tax Saving,Lives in joint family
Sneha,27,Self-Employed,$15k-$30k,3,Married w/ Kids,Wealth Creation,Prefers homeopathic treatment
Sneha,47,Salaried,$50k-$75k,5,Single,Health Coverage,"Frequent flyer, international travel"
Ankit,25,Salaried,$50k-$75k,4,Single,Retirement Savings,"Frequent flyer, international travel"
Mrs. Iyer,24,Salaried,$100k+,4,Married w/ Spouse,Retirement Savings,Lives in joint family
Mr. Dutta,61,Salaried,$100k+,1,Divorced,Child Education Fund,"Smoker, high stress job"
Sneha,42,Retired,$75k-$100k,2,Divorced,Wealth Creation,"Smoker, high stress job"
Mrs. Iyer,40,Retired,$75k-$100k,1,Married w/ Kids,Tax Saving,"Owns a car, travels frequently"
Ankit,27,Retired,$15k-$30k,4,Married w/ Kids,Health Coverage,"Frequent flyer, international travel"
Mr. Dutta,45,Retired,$15k-$30k,1,Widowed,Wealth Creation,Prefers homeopathic treatment
Ankit,25,Self-Employed,$75k-$100k,4,Married w/ Spouse,Wealth Creation,"Frequent flyer, international travel"
Priya,27,Self-Employed,$75k-$100k,1,Married w/ Spouse,Child Education Fund,"Sedentary lifestyle, chronic illness"
Priya,47,Business Owner,$30k-$50k,4,Married w/ Spouse,Wealth Creation,Prefers homeopathic treatment
Arjun,54,Salaried,$100k+,1,Widowed,Retirement Savings,"Frequent flyer, international travel"
Rahul,33,Retired,$30k-$50k,5,Married w/ Kids,Health Coverage,"Owns a car, travels frequently"
Sneha,28,Business Owner,$75k-$100k,5,Single,Wealth Creation,"Smoker, high stress job"
Mr. Dutta,39,Retired,$100k+,1,Single,Tax Saving,"Health-conscious, gym member"
Sneha,28,Business Owner,$100k+,4,Married w/ Kids,Child Education Fund,"Pet owner, active lifestyle"
Sunita,47,Self-Employed,$30k-$50k,5,Single,Wealth Creation,"Pet owner, active lifestyle"
Sunita,33,Retired,$30k-$50k,1,Married w/ Spouse,Child Education Fund,"Owns property, no liabilities"
Sunita,34,Retired,$50k-$75k,1,Divorced,Child Education Fund,"Owns property, no liabilities"
Arjun,53,Self-Employed,$50k-$75k,5,Divorced,Child Education Fund,"Frequent flyer, international travel"
Mr. Dutta,34,Self-Employed,$15k-$30k,5,Widowed,Tax Saving,"Pet owner, active lifestyle"
Sunita,45,Retired,$50k-$75k,2,Single,Child Education Fund,"Sedentary lifestyle, chronic illness"
Riya,35,Business Owner,$100k+,3,Married w/ Kids,Retirement Savings,"Health-conscious, gym member"
Amit,49,Salaried,$15k-$30k,2,Widowed,Retirement Savings,Works night shifts
Rahul,48,Self-Employed,$100k+,3,Married w/ Kids,Retirement Savings,"Sedentary lifestyle, chronic illness"
Ankit,38,Self-Employed,$100k+,3,Married w/ Spouse,Retirement Savings,"Owns property, no liabilities"
Arjun,27,Salaried,$30k-$50k,3,Single,Wealth Creation,"Frequent flyer, international travel"
Priya,57,Salaried,$15k-$30k,2,Married w/ Spouse,Tax Saving,Works night shifts
Priya,58,Salaried,$50k-$75k,2,Divorced,Wealth Creation,"Owns a car, travels frequently"
Mrs. Iyer,27,Self-Employed,$50k-$75k,1,Married w/ Spouse,Tax Saving,"Smoker, high stress job"
Ankit,46,Business Owner,$100k+,1,Widowed,Wealth Creation,"Pet owner, active lifestyle"
Priya,33,Business Owner,$50k-$75k,1,Single,Tax Saving,Lives in joint family
Arjun,38,Business Owner,$75k-$100k,4,Widowed,Retirement Savings,"Health-conscious, gym member"
Riya,53,Self-Employed,$75k-$100k,1,Widowed,Tax Saving,Lives in joint family
Mr. Dutta,27,Salaried,$100k+,2,Married w/ Kids,Tax Saving,Works night shifts
Sunita,49,Retired,$100k+,4,Married w/ Kids,Retirement Savings,"Pet owner, active lifestyle"
Sunita,28,Self-Employed,$50k-$75k,4,Single,Tax Saving,"Sedentary lifestyle, chronic illness"
Amit,32,Self-Employed,$75k-$100k,1,Widowed,Tax Saving,"Smoker, high stress job"
Arjun,63,Business Owner,$50k-$75k,1,Divorced,Retirement Savings,"Owns property, no liabilities"
Ankit,38,Business Owner,$100k+,1,Married w/ Kids,Wealth Creation,"Frequent flyer, international travel"
Mrs. Iyer,32,Business Owner,$75k-$100k,1,Single,Retirement Savings,"Frequent flyer, international travel"
Rahul,58,Retired,$30k-$50k,5,Single,Tax Saving,Prefers homeopathic treatment
Mrs. Iyer,61,Salaried,$100k+,2,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Arjun,45,Retired,$30k-$50k,2,Single,Tax Saving,"Owns a car, travels frequently"
Mr. Dutta,49,Business Owner,$75k-$100k,4,Widowed,Health Coverage,"Owns property, no liabilities"
Sneha,53,Salaried,$75k-$100k,3,Single,Wealth Creation,"Owns a car, travels frequently"
Amit,61,Self-Employed,$100k+,2,Single,Wealth Creation,"Owns property, no liabilities"
Sunita,51,Retired,$30k-$50k,4,Widowed,Retirement Savings,"Health-conscious, gym member"
Riya,35,Retired,$15k-$30k,5,Divorced,Retirement Savings,Prefers homeopathic treatment
Arjun,51,Salaried,$75k-$100k,1,Married w/ Spouse,Wealth Creation,"Sedentary lifestyle, chronic illness"
Amit,54,Salaried,$50k-$75k,2,Married w/ Kids,Health Coverage,"Frequent flyer, international travel"
Riya,35,Business Owner,$75k-$100k,2,Widowed,Retirement Savings,"Health-conscious, gym member"
Sneha,55,Retired,$50k-$75k,4,Widowed,Child Education Fund,"Smoker, high stress job"
Rahul,37,Business Owner,$15k-$30k,1,Single,Wealth Creation,Lives in joint family
Sunita,36,Self-Employed,$75k-$100k,4,Widowed,Tax Saving,"Frequent flyer, international travel"
Priya,27,Self-Employed,$50k-$75k,1,Divorced,Child Education Fund,Lives in joint family
Sunita,54,Self-Employed,$75k-$100k,1,Single,Retirement Savings,"Frequent flyer, international travel"
Mrs. Iyer,24,Self-Employed,$75k-$100k,3,Married w/ Kids,Retirement Savings,Lives in joint family
Mrs. Iyer,26,Self-Employed,$75k-$100k,2,Divorced,Child Education Fund,Prefers homeopathic treatment
Sneha,30,Self-Employed,$100k+,3,Divorced,Tax Saving,"Sedentary lifestyle, chronic illness"
Amit,62,Business Owner,$30k-$50k,1,Divorced,Wealth Creation,Lives in joint family
Ankit,29,Self-Employed,$30k-$50k,2,Single,Retirement Savings,"Owns property, no liabilities"
Mr. Dutta,37,Self-Employed,$15k-$30k,5,Single,Health Coverage,"Frequent flyer, international travel"
Mrs. Iyer,41,Self-Employed,$15k-$30k,3,Divorced,Child Education Fund,Works night shifts
Ankit,52,Retired,$50k-$75k,1,Married w/ Kids,Health Coverage,"Frequent flyer, international travel"
Arjun,31,Business Owner,$50k-$75k,5,Widowed,Tax Saving,"Owns a car, travels frequently"
Sneha,48,Retired,$30k-$50k,4,Widowed,Health Coverage,Lives in joint family
Ankit,22,Salaried,$30k-$50k,2,Married w/ Spouse,Wealth Creation,"Health-conscious, gym member"
Mrs. Iyer,48,Retired,$30k-$50k,3,Married w/ Spouse,Tax Saving,"Owns a car, travels frequently"
Arjun,41,Retired,$30k-$50k,2,Married w/ Spouse,Retirement Savings,"Pet owner, active lifestyle"
Priya,46,Business Owner,$30k-$50k,4,Single,Child Education Fund,"Health-conscious, gym member"
Arjun,36,Self-Employed,$75k-$100k,1,Divorced,Tax Saving,"Sedentary lifestyle, chronic illness"
Sunita,63,Retired,$75k-$100k,5,Married w/ Kids,Wealth Creation,Works night shifts
Riya,38,Retired,$100k+,3,Divorced,Retirement Savings,"Sedentary lifestyle, chronic illness"
Amit,43,Business Owner,$50k-$75k,3,Married w/ Spouse,Health Coverage,"Pet owner, active lifestyle"
Mr. Dutta,48,Salaried,$100k+,4,Divorced,Retirement Savings,"Owns property, no liabilities"
Sunita,54,Self-Employed,$100k+,2,Single,Tax Saving,"Owns property, no liabilities"
Mr. Dutta,45,Self-Employed,$50k-$75k,2,Married w/ Spouse,Tax Saving,Lives in joint family
Riya,38,Business Owner,$15k-$30k,5,Widowed,Health Coverage,Lives in joint family
Rahul,27,Salaried,$100k+,5,Married w/ Kids,Health Coverage,Works night shifts
Mrs. Iyer,62,Salaried,$50k-$75k,4,Married w/ Spouse,Health Coverage,"Smoker, high stress job"
Amit,33,Retired,$30k-$50k,5,Married w/ Spouse,Health Coverage,Prefers homeopathic treatment
Amit,34,Retired,$30k-$50k,4,Divorced,Tax Saving,Prefers homeopathic treatment
Mr. Dutta,41,Salaried,$100k+,5,Divorced,Retirement Savings,"Smoker, high stress job"
Sneha,31,Retired,$30k-$50k,4,Single,Retirement Savings,Lives in joint family
Amit,59,Retired,$75k-$100k,4,Single,Child Education Fund,Lives in joint family
Priya,35,Retired,$75k-$100k,1,Divorced,Tax Saving,"Sedentary lifestyle, chronic illness"
Riya,53,Salaried,$15k-$30k,3,Widowed,Tax Saving,"Health-conscious, gym member"
Ankit,53,Self-Employed,$50k-$75k,5,Widowed,Child Education Fund,Lives in joint family
Arjun,24,Business Owner,$15k-$30k,2,Married w/ Spouse,Child Education Fund,"Owns property, no liabilities"
Sunita,60,Salaried,$75k-$100k,5,Divorced,Wealth Creation,"Frequent flyer, international travel"
Priya,29,Self-Employed,$100k+,4,Married w/ Spouse,Tax Saving,"Smoker, high stress job"
Riya,31,Self-Employed,$50k-$75k,5,Divorced,Child Education Fund,"Pet owner, active lifestyle"
Sunita,26,Self-Employed,$50k-$75k,5,Single,Retirement Savings,Lives in joint family
Ankit,24,Retired,$75k-$100k,2,Single,Health Coverage,"Pet owner, active lifestyle"
Sunita,46,Retired,$15k-$30k,1,Widowed,Child Education Fund,"Owns a car, travels frequently"
Ankit,28,Business Owner,$50k-$75k,3,Widowed,Health Coverage,"Sedentary lifestyle, chronic illness"
Rahul,52,Self-Employed,$75k-$100k,3,Divorced,Retirement Savings,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,49,Self-Employed,$15k-$30k,4,Married w/ Kids,Wealth Creation,"Smoker, high stress job"
Arjun,59,Self-Employed,$100k+,4,Single,Child Education Fund,"Owns property, no liabilities"
Mrs. Iyer,28,Self-Employed,$100k+,3,Divorced,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mr. Dutta,40,Self-Employed,$15k-$30k,2,Divorced,Health Coverage,"Health-conscious, gym member"
Sunita,39,Retired,$30k-$50k,3,Married w/ Kids,Wealth Creation,Works night shifts
Arjun,35,Retired,$30k-$50k,4,Widowed,Wealth Creation,"Smoker, high stress job"
Sneha,58,Retired,$50k-$75k,5,Married w/ Spouse,Child Education Fund,"Health-conscious, gym member"
Sunita,52,Salaried,$100k+,2,Widowed,Child Education Fund,"Health-conscious, gym member"
Rahul,36,Salaried,$100k+,3,Married w/ Kids,Child Education Fund,Prefers homeopathic treatment
Ankit,26,Business Owner,$50k-$75k,2,Married w/ Kids,Tax Saving,"Owns a car, travels frequently"
Arjun,55,Salaried,$15k-$30k,5,Single,Retirement Savings,"Smoker, high stress job"
Sunita,31,Business Owner,$75k-$100k,5,Single,Child Education Fund,Works night shifts
Rahul,63,Retired,$75k-$100k,3,Married w/ Kids,Tax Saving,"Pet owner, active lifestyle"
Mrs. Iyer,44,Business Owner,$100k+,3,Widowed,Health Coverage,"Owns property, no liabilities"
Rahul,61,Retired,$100k+,4,Single,Retirement Savings,"Smoker, high stress job"
Sneha,31,Salaried,$30k-$50k,2,Married w/ Kids,Tax Saving,Prefers homeopathic treatment
Rahul,43,Business Owner,$100k+,4,Widowed,Tax Saving,"Smoker, high stress job"
Sunita,37,Salaried,$50k-$75k,4,Married w/ Kids,Health Coverage,Works night shifts
Riya,47,Business Owner,$50k-$75k,5,Widowed,Health Coverage,"Pet owner, active lifestyle"
Sneha,32,Retired,$50k-$75k,1,Widowed,Retirement Savings,Lives in joint family
Ankit,34,Salaried,$15k-$30k,3,Married w/ Spouse,Child Education Fund,Lives in joint family
Mrs. Iyer,25,Retired,$75k-$100k,3,Divorced,Retirement Savings,"Owns property, no liabilities"
Priya,64,Business Owner,$50k-$75k,2,Married w/ Spouse,Retirement Savings,"Sedentary lifestyle, chronic illness"
Priya,45,Salaried,$15k-$30k,5,Married w/ Spouse,Wealth Creation,"Frequent flyer, international travel"
Mr. Dutta,50,Retired,$15k-$30k,1,Married w/ Kids,Wealth Creation,"Smoker, high stress job"
Rahul,57,Retired,$50k-$75k,2,Married w/ Kids,Health Coverage,"Smoker, high stress job"
Sunita,50,Business Owner,$100k+,1,Married w/ Kids,Health Coverage,"Pet owner, active lifestyle"
Riya,49,Self-Employed,$30k-$50k,1,Married w/ Kids,Retirement Savings,"Sedentary lifestyle, chronic illness"
Ankit,53,Business Owner,$15k-$30k,5,Married w/ Kids,Child Education Fund,"Owns property, no liabilities"
Priya,52,Business Owner,$75k-$100k,3,Divorced,Tax Saving,"Owns property, no liabilities"
Amit,39,Retired,$100k+,3,Single,Wealth Creation,"Health-conscious, gym member"
Priya,38,Retired,$50k-$75k,4,Divorced,Health Coverage,"Owns a car, travels frequently"
Arjun,52,Salaried,$75k-$100k,1,Widowed,Child Education Fund,"Frequent flyer, international travel"
Sneha,55,Salaried,$75k-$100k,3,Widowed,Child Education Fund,"Pet owner, active lifestyle"
Mrs. Iyer,25,Salaried,$75k-$100k,5,Divorced,Child Education Fund,"Pet owner, active lifestyle"
Arjun,34,Self-Employed,$30k-$50k,5,Widowed,Retirement Savings,"Owns a car, travels frequently"
